City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-01,34.52,154.75,0.92,18.22,17.15,8.98,0.92,27.64,133.36,0.00,0.02,0.00,133.02,Moderate
Ahmedabad,2015-01-02,25.83,226.24,0.97,15.69,16.46,9.09,0.97,24.55,34.06,3.68,5.50,3.77,152.90,Moderate
Ahmedabad,2015-01-03,90.95,206.09,17.40,19.30,29.70,8.99,17.40,29.07,30.70,6.80,16.40,2.25,294.05,Poor
Ahmedabad,2015-01-04,25.83,226.24,1.70,18.48,17.97,9.09,1.70,18.59,36.08,4.43,10.14,1.00,154.82,Moderate
Ahmedabad,2015-01-05,156.12,236.77,22.10,21.42,37.76,8.91,22.10,39.33,39.31,7.01,18.89,2.78,397.48,Very Poor
Ahmedabad,2015-01-06,128.26,150.07,45.41,38.48,81.50,8.87,45.41,45.76,46.51,5.42,10.83,1.93,461.70,Severe
Ahmedabad,2015-01-07,46.52,77.60,112.16,40.62,130.77,22.56,112.16,32.28,33.47,0.00,0.00,0.00,620.77,Hazardous
Ahmedabad,2015-01-08,36.84,132.91,80.87,36.74,96.75,22.56,80.87,38.54,31.89,0.00,0.00,0.00,500.48,Hazardous
Ahmedabad,2015-01-09,70.20,116.70,29.16,31.00,48.00,10.40,29.16,58.68,25.75,0.00,0.00,0.00,337.84,Very Poor
Ahmedabad,2015-01-10,43.27,51.99,8.18,7.04,0.00,8.21,0.00,8.29,4.55,0.00,0.00,0.00,99.30,Satisfactory
Ahmedabad,2015-01-11,60.49,169.72,132.07,55.80,24.53,27.92,132.07,25.03,6.79,0.00,0.00,0.00,744.35,Hazardous
Ahmedabad,2015-01-12,157.99,124.98,52.04,40.67,90.24,15.90,52.04,51.84,45.89,2.41,0.03,7.88,511.87,Hazardous
Ahmedabad,2015-01-13,126.06,167.78,48.82,44.20,87.09,10.64,48.82,68.21,35.16,9.45,13.35,12.50,507.88,Hazardous
Ahmedabad,2015-01-14,55.49,123.04,19.20,27.86,33.05,23.94,19.20,52.65,20.96,2.16,2.26,5.19,273.19,Poor
Ahmedabad,2015-01-15,29.28,119.48,0.60,16.96,16.60,8.97,0.60,28.89,47.63,0.14,0.04,1.35,131.78,Moderate
Ahmedabad,2015-01-16,99.28,106.28,1.63,21.72,22.86,9.54,1.63,38.27,46.03,0.35,0.05,2.01,215.25,Poor
Ahmedabad,2015-01-17,78.71,34.76,11.44,24.73,34.75,3.30,11.44,49.50,52.24,0.68,0.00,3.27,233.72,Poor
Ahmedabad,2015-01-18,49.24,35.06,6.10,25.77,29.57,9.13,6.10,48.43,53.49,0.74,0.21,2.75,182.52,Moderate
Ahmedabad,2015-01-19,36.52,69.25,2.51,26.88,27.45,27.92,2.51,50.03,49.48,0.26,0.02,2.80,164.94,Moderate
Ahmedabad,2015-01-20,78.71,83.91,7.92,26.80,32.40,6.90,7.92,58.87,56.37,0.24,0.01,3.97,242.65,Poor
Ahmedabad,2015-01-21,48.77,110.20,9.52,33.56,39.28,27.37,9.52,106.93,48.75,0.33,0.00,5.65,286.66,Poor
Ahmedabad,2015-01-22,61.79,55.71,9.05,17.51,22.33,24.01,9.05,23.71,42.22,0.00,0.00,4.51,175.48,Moderate
Ahmedabad,2015-01-23,106.09,204.68,22.53,27.96,47.79,9.19,22.53,39.19,32.92,0.39,0.00,5.95,338.45,Very Poor
Ahmedabad,2015-01-24,109.21,226.24,2.03,20.39,21.40,10.59,2.03,40.07,32.49,0.47,0.70,1.54,258.25,Poor
Ahmedabad,2015-01-25,43.70,242.15,1.42,20.43,20.19,7.83,1.42,58.41,39.26,0.01,0.00,0.94,216.92,Poor
Ahmedabad,2015-01-26,156.30,200.52,2.27,21.16,21.81,10.59,2.27,43.73,39.83,0.06,0.00,1.55,301.94,Very Poor
Ahmedabad,2015-01-27,141.49,106.28,2.19,21.70,23.26,10.53,2.19,43.28,41.10,0.02,0.00,1.65,264.85,Poor
Ahmedabad,2015-01-28,73.24,111.17,5.72,21.11,25.84,7.75,5.72,36.52,62.42,0.03,0.01,1.41,203.46,Poor
Ahmedabad,2015-01-29,83.13,64.09,6.93,28.71,33.72,6.47,6.93,49.52,59.76,0.02,0.00,3.14,228.77,Poor
Ahmedabad,2015-01-30,79.84,137.08,13.85,28.68,41.08,10.18,13.85,48.49,97.07,0.04,0.00,4.81,263.37,Poor
Ahmedabad,2015-01-31,94.52,149.35,24.39,32.66,52.61,12.31,24.39,67.39,111.33,0.24,0.01,7.67,345.84,Very Poor
Ahmedabad,2015-02-01,135.99,249.51,43.48,42.08,84.57,9.73,43.48,75.23,102.70,0.40,0.04,25.87,503.07,Hazardous
Ahmedabad,2015-02-02,178.33,323.38,54.56,35.31,72.80,29.93,54.56,55.04,107.38,0.46,0.06,35.61,572.00,Hazardous
Ahmedabad,2015-02-03,139.70,232.14,30.61,28.40,56.73,7.72,30.61,33.79,73.60,0.17,0.03,11.87,397.33,Very Poor
Ahmedabad,2015-02-04,80.65,106.28,2.37,22.83,24.00,10.53,2.37,25.73,47.30,0.00,0.00,0.00,186.97,Moderate
Ahmedabad,2015-02-05,58.36,96.82,2.60,21.39,23.31,10.53,2.60,32.66,53.54,0.00,0.00,0.00,170.05,Moderate
Ahmedabad,2015-02-06,79.29,64.09,1.16,26.94,26.83,7.22,1.16,67.41,59.30,0.00,0.00,0.00,221.30,Poor
Ahmedabad,2015-02-07,88.70,106.28,7.29,31.32,37.73,27.37,7.29,80.09,44.76,0.00,0.00,0.00,283.83,Poor
Ahmedabad,2015-02-08,74.28,106.28,8.92,27.30,33.42,6.47,8.92,54.28,47.42,0.00,0.00,0.27,245.18,Poor
Ahmedabad,2015-02-09,113.93,106.28,4.32,24.27,26.86,9.65,4.32,48.73,39.94,0.02,0.00,3.55,255.54,Poor
Ahmedabad,2015-02-10,105.39,78.34,1.41,18.21,18.75,7.83,1.41,35.91,56.15,0.00,0.00,3.31,206.36,Poor
Ahmedabad,2015-02-11,66.52,34.13,6.34,23.80,28.24,7.35,6.34,66.58,53.14,9.70,9.63,16.49,219.01,Poor
Ahmedabad,2015-02-12,65.04,127.26,14.19,30.10,44.21,11.37,14.19,65.91,31.88,7.72,17.46,2.51,289.42,Poor
Ahmedabad,2015-02-13,103.36,235.83,18.18,39.56,57.33,10.93,18.18,80.43,40.11,11.29,24.35,3.35,395.37,Very Poor
Ahmedabad,2015-02-14,177.33,340.78,37.49,47.58,77.85,16.25,37.49,99.72,36.47,17.00,52.66,6.98,618.02,Hazardous
Ahmedabad,2015-02-15,113.25,268.81,15.55,30.50,44.87,6.84,15.55,69.71,33.78,10.47,28.53,3.22,386.84,Very Poor
Ahmedabad,2015-02-16,99.70,152.58,19.85,28.10,47.31,6.67,19.85,73.23,30.57,10.28,31.25,4.00,368.57,Very Poor
Ahmedabad,2015-02-17,80.61,178.93,15.96,21.04,35.67,6.64,15.96,54.70,36.20,8.14,18.75,2.52,303.59,Very Poor
Ahmedabad,2015-02-18,100.79,289.95,16.24,25.93,41.91,8.87,16.24,43.11,37.43,10.00,32.41,4.04,350.13,Very Poor
Ahmedabad,2015-02-19,107.99,268.81,11.25,30.09,40.47,7.15,11.25,84.86,31.94,9.20,24.03,3.25,378.86,Very Poor
Ahmedabad,2015-02-20,140.29,264.43,33.84,36.14,68.85,6.50,33.84,101.53,40.98,20.12,43.51,7.48,532.85,Hazardous
Ahmedabad,2015-02-21,239.96,350.82,61.95,46.25,106.92,25.58,61.95,84.87,33.55,22.14,53.98,15.44,758.18,Hazardous
Ahmedabad,2015-02-22,142.96,240.43,45.45,48.21,92.32,27.20,45.45,62.96,34.77,7.35,22.40,8.47,532.18,Hazardous
Ahmedabad,2015-02-23,238.41,501.56,77.70,55.07,131.32,25.58,77.70,89.07,37.30,50.61,163.64,28.46,935.98,Hazardous
Ahmedabad,2015-02-24,118.72,254.76,12.56,32.01,42.56,5.48,12.56,61.54,38.80,16.89,46.52,6.05,377.56,Very Poor
Ahmedabad,2015-02-25,52.99,88.26,2.23,10.45,10.39,6.40,2.23,32.76,67.25,3.85,11.39,0.81,156.81,Moderate
